=== PROJECT PRICING DEBUG ===
Project,"Banyan's Sliding Door"
Status,"APPROVED"

=== PRICING MODE ===
Name,"Default (Hybrid)"
Extrusion Markup,300%
Hardware Markup,300%
Glass Markup,300%
Packaging Markup,0%
Global Markup,0%
Discount,0%
Extrusion Costing,"HYBRID"

=== OPENING: 001 ===
Finish Color,"Black (Powder Coated)"

--- Component: Fixed End Panel (4") (Panel 957) ---
Dimensions,"37.125" W x 95.625" H"

BOM ITEMS
Part Number,Part Name,Part Type,Stock Length,Cut Length,Quantity,Unit Cost,Finish Cost,Total Cost,Method,Details,Finish Details
"MS-BX-38-84X120-DW","Fixed Panel and Door Box","Packaging","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-BUMBS35","Black Bumper","Hardware","","",9,$0.06,$0.00,$0.53,"master_part_hardware","Hardware cost: $0.0594 × 9",""
"E-12304","Thinwall U-Channel","Extrusion","78in","18.50in",1,$5.13,$2.02,$7.15,"extrusion_hybrid_percentage","Cut 18.50"" from 78"" stock (23.7% used, <50%) | Piece price: $21.61 | Calc: 23.7% × $21.61 × 1 qty = $5.13","Black (Powder Coated) (cut length): 1.052' perim × 1.54' = 1.62 sq ft × $1.245/sq ft × 1 = $2.02"
"48450","4"" Web Rail Shallow","Extrusion","102in","16.50in",1,$8.38,$0.00,$8.38,"extrusion_hybrid_percentage","Cut 16.50"" from 102"" stock (16.2% used, <50%) | Piece price: $51.81 | Calc: 16.2% × $51.81 × 1 qty = $8.38","Black (Powder Coated): No perimeter defined, finish cost = $0.00"
"48349","U-Channel Shallow","Extrusion","78in","18.50in",1,$2.64,$1.06,$3.70,"extrusion_hybrid_percentage","Cut 18.50"" from 78"" stock (23.7% used, <50%) | Piece price: $11.14 | Calc: 23.7% × $11.14 × 1 qty = $2.64","Black (Powder Coated) (cut length): 0.552' perim × 1.54' = 0.85 sq ft × $1.245/sq ft × 1 = $1.06"
"E-12303","Flat Stock Trim","Extrusion","123in","19.00in",2,$2.12,$1.71,$5.95,"extrusion_hybrid_percentage","Cut 19.00"" from 123"" stock (15.4% used, <50%) | Piece price: $13.72 | Calc: 15.4% × $13.72 × 2 qty = $4.24","Black (Powder Coated) (cut length): 0.435' perim × 1.58' = 0.69 sq ft × $1.245/sq ft × 2 = $1.71"
"48448","Glass Stop (Gutter)","Extrusion","102in","16.50in",2,$0.94,$1.86,$3.74,"extrusion_hybrid_percentage","Cut 16.50"" from 102"" stock (16.2% used, <50%) | Piece price: $5.81 | Calc: 16.2% × $5.81 × 2 qty = $1.88","Black (Powder Coated) (cut length): 0.544' perim × 1.38' = 0.75 sq ft × $1.245/sq ft × 2 = $1.86"
"48447","Glass Stop (Face)","Extrusion","75in","16.50in",2,$0.51,$1.05,$2.06,"extrusion_hybrid_percentage","Cut 16.50"" from 75"" stock (22.0% used, <50%) | Piece price: $2.30 | Calc: 22.0% × $2.30 × 2 qty = $1.01","Black (Powder Coated) (cut length): 0.305' perim × 1.38' = 0.42 sq ft × $1.245/sq ft × 2 = $1.05"
"DR-ASD-NUT884","HexSleeve Anchor","Fastener","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"AD-LUG-3.20-FG","Door Lug (3.20)","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"E-12307H","4"" ThinWall Web Rail","Extrusion","102in","16.50in",1,$8.31,$3.14,$11.45,"extrusion_hybrid_percentage","Cut 16.50"" from 102"" stock (16.2% used, <50%) | Piece price: $51.35 | Calc: 16.2% × $51.35 × 1 qty = $8.31","Black (Powder Coated) (cut length): 1.837' perim × 1.38' = 2.53 sq ft × $1.245/sq ft × 1 = $3.14"
"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware","","",1,$0.10,$0.00,$0.10,"master_part_hardware","Hardware cost: $0.1 × 1",""
"HW-N&B-FAS3004","Flat Washer","Hardware","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"JAMB-KIT-BOX","Jamb Kit Box","Packaging","","",1,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"HW-N&B-FAS9152","3/8-16 Locking Nut","Hardware","","",4,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",2,$0.43,$0.00,$0.87,"bom_formula","Formula: height - 9 → 95.625 - 9 = 86.63 × $0.005/IN × 2 qty = $0.87",""
"FOAM-GASKET-ROLL","Foam Gasket","Hardware","","",2,$0.08,$0.00,$0.17,"bom_formula","Formula: width - 2 → 18.5 - 2 = 16.50 × $0.005/IN × 2 qty = $0.17",""
"HW-BLT-FAS2060","Lag Bolt","Fastener","","",2,$0.00,$0.00,$0.00,"no_cost_found","No pricing method found",""
"DR-ASD-GRA-FGR9","Threaded Tie-Rod","CutStock","120in","18.00in",2,$0.90,$0.00,$1.80,"extrusion_hybrid_percentage","Cut 18.00"" from 120"" stock (15.0% used, <50%) | Piece price: $6.00 | Calc: 15.0% × $6.00 × 2 qty = $1.80",""

OPTION ITEMS
